"","Lambda","VV","VO","VB","BSV","BIV","BLV","ER","STD","RAS"
"1",0.01,0.300000000000057,0.299999999999997,0.299999999999997,3.93048037141367e-17,0,0.0999999999999493,0.0542471921521209,0.183761612353303,0.998
"2",0.02,0.300000000000005,0.299999999999997,0.299999999999997,5.55853864789303e-17,2.77555756156289e-17,0.1,0.0542471921521194,0.183761612353292,0.996
"3",0.03,0.300000000000007,0.299999999999991,0.299999999999997,3.40389585071914e-17,0,0.100000000000005,0.0542471921521193,0.183761612353291,0.994
"4",0.04,0.300000000000015,0.300000000000001,0.300000000000001,3.93048037141271e-17,0,0.0999999999999838,0.05424719215212,0.183761612353296,0.992
"5",0.05,0.300000000000017,0.300000000000001,0.300000000000001,0,0,0.0999999999999817,0.05424719215212,0.183761612353296,0.99
"6",0.06,0.299999999999993,0.300000000000004,0.300000000000001,-4.8138356769926e-17,0,0.100000000000002,0.0542471921521194,0.183761612353292,0.988
"7",0.07,0.299999999999996,0.299999999999994,0.300000000000001,0,0,0.100000000000009,0.0542471921521192,0.18376161235329,0.986
"8",0.08,0.300000000000001,0.300000000000001,0.300000000000001,5.55853864789273e-17,2.77555756156289e-17,0.0999999999999971,0.0542471921521195,0.183761612353293,0.984
"9",0.09,0.299999999999992,0.300000000000001,0.300000000000001,0,-2.77555756156289e-17,0.100000000000007,0.0542471921521193,0.183761612353291,0.982
"10",0.1,0.300000000000004,0.299999999999997,0.300000000000001,-1.48730678273117e-16,0,0.0999999999999984,0.0542471921521195,0.183761612353293,0.98
"11",0.11,0.300000000000004,0.299999999999997,0.300000000000001,0,0,0.0999999999999984,0.0542471921521195,0.183761612353293,0.978
"12",0.12,0.300000000000003,0.299999999999998,0.3,3.40389585071929e-17,0,0.1,0.0542471921521195,0.183761612353292,0.976
"13",0.13,0.300000000000003,0.300000000000002,0.3,0,0,0.0999999999999952,0.0542471921521196,0.183761612353294,0.974
"14",0.14,0.300000000000004,0.300000000000002,0.3,-7.35325545763294e-17,-2.77555756156289e-17,0.0999999999999939,0.0542471921521197,0.183761612353294,0.972
"15",0.15,0.299999999999998,0.3,0.3,3.80567125526888e-17,2.77555756156289e-17,0.100000000000001,0.0542471921521194,0.183761612353292,0.97
"16",0.16,0.300000000000004,0.3,0.3,3.93048037141253e-17,-2.77555756156289e-17,0.0999999999999967,0.0542471921521196,0.183761612353293,0.968
"17",0.17,0.300000000000002,0.3,0.3,4.05144643268766e-17,0,0.0999999999999986,0.0542471921521195,0.183761612353293,0.966
"18",0.18,0.300000000000002,0.3,0.3,4.1689039859196e-17,0,0.0999999999999982,0.0542471921521195,0.183761612353293,0.964
"19",0.19,0.299999999999998,0.300000000000001,0.3,-4.28314168463926e-17,0,0.100000000000001,0.0542471921521195,0.183761612353292,0.962
"20",0.2,0.300000000000004,0.3,0.3,0,0,0.099999999999997,0.0542471921521196,0.183761612353293,0.96
"21",0.21,0.300000000000002,0.3,0.3,-4.50293095488398e-17,0,0.0999999999999985,0.0542471921521195,0.183761612353293,0.958
"22",0.22,0.299999999999998,0.300000000000001,0.3,0,0,0.100000000000001,0.0542471921521195,0.183761612353292,0.956
"23",0.23,0.300000000000001,0.3,0.3,-4.71248041674551e-17,0,0.0999999999999989,0.0542471921521195,0.183761612353293,0.954
"24",0.24,0.299999999999998,0.300000000000001,0.3,-4.8138356769927e-17,0,0.100000000000001,0.0542471921521194,0.183761612353292,0.952
"25",0.25,0.3,0.299999999999999,0.3,0,0,0.100000000000001,0.0542471921521194,0.183761612353292,0.95
"26",0.26,0.300000000000001,0.299999999999999,0.3,5.01039902790641e-17,2.77555756156289e-17,0.0999999999999993,0.0542471921521195,0.183761612353293,0.948
"27",0.27,0.299999999999998,0.299999999999999,0.3,5.1058437760789e-17,2.77555756156289e-17,0.100000000000003,0.0542471921521194,0.183761612353292,0.946
"28",0.28,0.3,0.299999999999999,0.3,-1.03990735957781e-16,0,0.100000000000001,0.0542471921521195,0.183761612353292,0.944
"29",0.29,0.299999999999998,0.300000000000001,0.3,0,0,0.100000000000002,0.0542471921521194,0.183761612353292,0.942
"30",0.3,0.299999999999999,0.299999999999999,0.3,-5.38203190313467e-17,2.77555756156289e-17,0.100000000000002,0.0542471921521194,0.183761612353292,0.94
"31",0.31,0.299999999999999,0.300000000000001,0.3,0,0,0.1,0.0542471921521195,0.183761612353292,0.938
